                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.3119,                 3.5054,                 2.3611,                      0,                      0,                      0,                      0,                 2.3759,                 3.8725,                 2.3968,             0.00051677,             0.00051677,             0.00051677
                      1,                 2.1552,                 3.0833,                 2.1472,                      0,                      0,                      0,                      0,                  2.697,                 4.0091,                 2.7554,              0.0010398,              0.0010398,              0.0010398
                      2,                 2.2318,                 2.9558,                   2.17,                      0,                      0,                      0,                      0,                 2.8962,                 3.8479,                 3.1038,              0.0015523,              0.0015523,              0.0015523
                      3,                 2.2401,                 2.9014,                 2.2069,                0.12155,                0.15385,                0.09476,                0.02449,                 2.6809,                 6.0434,                 2.9156,              0.0016175,              0.0016175,              0.0016175
                      4,                 2.2221,                 2.7649,                 2.1582,                0.53237,                 0.1339,                0.29343,                 0.0725,                 2.7415,                 5.4972,                 2.7593,              0.0016175,              0.0016175,              0.0016175
                      5,                  2.194,                 2.6574,                 2.1051,                0.67391,                0.10874,                0.37961,                0.07182,                 2.7001,                 3.5419,                 2.5898,               0.001601,               0.001601,               0.001601
                      6,                 2.2249,                  2.625,                 2.1049,                0.05882,                0.02564,                0.03161,                0.02053,                 2.4835,                 3.4786,                 2.5279,              0.0015845,              0.0015845,              0.0015845
                      7,                 2.1349,                 2.5535,                 2.0636,                0.23204,                0.07692,                0.16011,                 0.0784,                 2.5816,                 3.2957,                 2.6167,               0.001568,               0.001568,               0.001568
                      8,                 2.0776,                 2.4285,                 1.9895,                   0.25,                0.03846,                0.13836,                0.07282,                 2.4706,                 3.2292,                 2.4934,              0.0015515,              0.0015515,              0.0015515
                      9,                 2.1209,                   2.44,                 2.0289,                0.16667,                0.07692,                0.11099,                0.05124,                 2.5524,                 3.3256,                 2.5322,               0.001535,               0.001535,               0.001535
                     10,                 2.0893,                 2.4164,                 2.0156,                0.43417,                0.01282,                0.13445,                0.01345,                 2.5084,                 3.0378,                  2.527,              0.0015185,              0.0015185,              0.0015185
                     11,                 2.0755,                 2.3808,                 1.9932,                0.24281,                0.07692,                0.15374,                0.07677,                 2.3902,                 3.6806,                 2.3419,               0.001502,               0.001502,               0.001502
