                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.3272,                 3.6132,                 2.3355,                      0,                      0,                      0,                      0,                 2.4072,                 4.0662,                 2.5521,             0.00025005,             0.00025005,             0.00025005
                      1,                  2.065,                 3.0035,                 2.0515,                      0,                      0,                      0,                      0,                 2.7438,                  4.072,                 2.7567,             0.00051165,             0.00051165,             0.00051165
                      2,                 2.1456,                 2.8806,                 2.0544,                      0,                      0,                      0,                      0,                 2.6043,                 4.0342,                 2.7899,             0.00076798,             0.00076798,             0.00076798
                      3,                 2.1505,                 2.8039,                 2.0478,                0.15353,                0.19231,                0.11269,                0.05047,                 2.6288,                 4.4726,                 3.0394,               0.001019,               0.001019,               0.001019
                      4,                 2.0885,                 2.6362,                 2.0327,                0.08333,                0.05128,                 0.0509,                0.01761,                 2.5168,                 4.0484,                 2.7681,              0.0012648,              0.0012648,              0.0012648
                      5,                 2.1119,                 2.6379,                  2.065,                0.22756,                0.10066,                0.13827,                0.03774,                 2.6283,                 3.3116,                 2.9255,              0.0015053,              0.0015053,              0.0015053
                      6,                 2.1613,                 2.5662,                 2.0607,                0.14175,                 0.2037,                0.08988,                0.03251,                 2.5432,                 5.5148,                 2.8048,               0.001568,               0.001568,               0.001568
                      7,                 2.1652,                 2.5575,                 2.0544,                0.08029,                0.18281,                0.05247,                0.01438,                 2.7692,                 6.7345,                 2.7476,               0.001568,               0.001568,               0.001568
                      8,                 2.1465,                 2.5422,                 2.0742,                0.58735,                0.07692,                0.04008,                0.01206,                 2.8396,                 4.5304,                 2.8227,              0.0015515,              0.0015515,              0.0015515
                      9,                 2.1232,                 2.4787,                 2.0541,                0.64927,                0.17949,                0.12723,                 0.0449,                 2.4973,                 3.6694,                 2.5207,               0.001535,               0.001535,               0.001535
                     10,                 2.1384,                 2.4597,                 2.0163,                0.09282,                0.12821,                0.07756,                0.02742,                 2.7445,                 4.3252,                 2.8166,              0.0015185,              0.0015185,              0.0015185
                     11,                 2.1241,                 2.4346,                  2.077,                0.11609,                0.19183,                0.10111,                0.03444,                 2.6182,                 4.0638,                 2.8245,               0.001502,               0.001502,               0.001502
                     12,                 2.1029,                 2.3767,                 2.0339,                0.29643,                0.15337,                0.20963,                0.08658,                 2.5318,                 3.0184,                 2.5027,              0.0014855,              0.0014855,              0.0014855
                     13,                 2.0922,                  2.377,                 2.0121,                0.24831,                0.17094,                0.16367,                0.07214,                  2.625,                 3.6974,                 2.5793,               0.001469,               0.001469,               0.001469
                     14,                 2.0096,                 2.2779,                 1.9546,                0.66424,                0.15385,                0.08659,                0.03936,                 2.5107,                 3.2767,                 2.4675,              0.0014525,              0.0014525,              0.0014525
                     15,                 2.0357,                 2.2671,                 1.9709,                0.35897,                0.17759,                0.23025,                0.07451,                 2.5419,                  3.348,                 2.4704,               0.001436,               0.001436,               0.001436
                     16,                 2.0414,                 2.2245,                  1.963,                0.33333,                  0.217,                0.26611,                0.10719,                 2.4225,                 2.6272,                 2.2977,              0.0014195,              0.0014195,              0.0014195
                     17,                 2.0551,                 2.1817,                 1.9385,                 0.1866,                0.13248,                0.11651,                 0.0383,                  2.443,                 3.1234,                 2.3303,              0.0014029,              0.0014029,              0.0014029
