                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.4968,                 5.3807,                 2.8225,                      0,                      0,                      0,                      0,                 2.7734,                 6.1515,                 3.0298,             0.00051677,             0.00051677,             0.00051677
                      1,                 2.2851,                  4.572,                 2.5425,                      0,                      0,                      0,                      0,                 2.6671,                 6.4907,                 3.3592,              0.0010398,              0.0010398,              0.0010398
                      2,                 2.2143,                 4.1298,                 2.5524,                0.01575,                0.10256,                0.01184,                0.00317,                 2.5331,                 14.029,                  3.609,              0.0015523,              0.0015523,              0.0015523
                      3,                 2.2241,                  3.887,                 2.5754,                0.00789,                0.32574,                0.00529,                0.00142,                 2.8577,                 82.078,                 3.5071,              0.0016175,              0.0016175,              0.0016175
                      4,                 2.1873,                 3.6123,                  2.525,                0.04995,                0.09307,                0.02403,                0.00773,                 2.9763,                 10.302,                 3.4091,              0.0016175,              0.0016175,              0.0016175
                      5,                 2.2097,                 3.4255,                 2.4978,                0.14286,                0.02564,                0.08402,                0.02305,                 2.7152,                  5.278,                 2.9589,               0.001601,               0.001601,               0.001601
                      6,                 2.1708,                 3.2359,                 2.5131,                0.28846,                0.09497,                0.16608,                0.03983,                 2.5882,                 3.9903,                 3.0441,              0.0015845,              0.0015845,              0.0015845
                      7,                 2.1282,                 3.0837,                 2.4382,                    0.2,                0.05128,                0.12425,                 0.0208,                 2.6279,                 3.8625,                 2.8286,               0.001568,               0.001568,               0.001568
                      8,                 2.0871,                 2.9397,                   2.41,                    0.2,                0.05128,                0.12425,                 0.0208,                 2.5834,                 3.2512,                 2.7758,              0.0015515,              0.0015515,              0.0015515
                      9,                  2.102,                 2.8736,                 2.3915,                0.15561,                0.19231,                0.11368,                0.02668,                 2.4709,                 3.5017,                 2.6647,               0.001535,               0.001535,               0.001535
                     10,                 2.0502,                 2.8501,                 2.4042,                0.06098,                 0.0641,                0.03777,                0.01395,                 2.5584,                 3.7483,                 2.8982,              0.0015185,              0.0015185,              0.0015185
                     11,                 2.0892,                 2.8138,                 2.4088,                0.15908,                0.19231,                 0.1553,                0.02974,                   2.46,                 5.0518,                  2.834,               0.001502,               0.001502,               0.001502
                     12,                 2.0641,                 2.8018,                   2.38,                0.11429,                0.10256,                0.08406,                0.01759,                 2.4526,                 3.2511,                 2.7251,              0.0014855,              0.0014855,              0.0014855
                     13,                 2.0791,                 2.7153,                 2.3524,                0.56667,                0.03181,                0.29231,                0.08707,                 2.4655,                 3.1939,                 2.7821,               0.001469,               0.001469,               0.001469
                     14,                 2.0822,                 2.7191,                   2.39,                   0.08,                0.05128,                0.04793,                0.00831,                 2.3697,                 2.9999,                 2.7437,              0.0014525,              0.0014525,              0.0014525
                     15,                 2.0523,                 2.6989,                 2.3683,                0.10021,                0.01282,                0.03465,                0.00347,                 2.5483,                 3.2586,                 2.8218,               0.001436,               0.001436,               0.001436
                     16,                 2.0591,                  2.672,                 2.3508,                0.15625,                0.12821,                0.13519,                0.03894,                 2.4164,                 3.0197,                 2.6494,              0.0014195,              0.0014195,              0.0014195
