                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.4427,                 4.0841,                 2.4699,                0.03352,                0.02517,                0.00903,                0.00274,                 2.5554,                 44.986,                 2.9059,             0.00025005,             0.00025005,             0.00025005
                      1,                 2.1721,                 2.8136,                 2.1743,                0.00455,                0.26923,                0.00445,                0.00162,                 2.8453,                    inf,                 4.2121,             0.00051165,             0.00051165,             0.00051165
                      2,                 2.3195,                 2.8322,                 2.2943,                0.00292,                 0.3699,                0.00251,                0.00081,                 3.2378,                    inf,                 18.644,             0.00076798,             0.00076798,             0.00076798
                      3,                 2.3523,                 2.7767,                 2.3215,                 0.0026,                0.33001,                0.00174,                0.00062,                 3.5309,                    inf,                 32.519,               0.001019,               0.001019,               0.001019
                      4,                 2.2883,                 2.6178,                 2.2698,                0.01859,                0.21747,                 0.0148,                0.00353,                 3.0071,                    inf,                 4.9925,              0.0012648,              0.0012648,              0.0012648
                      5,                 2.3085,                 2.6913,                 2.2764,                0.04807,                0.08879,                0.02275,                0.00755,                 3.1153,                 76.235,                 5.3132,              0.0015053,              0.0015053,              0.0015053
                      6,                 2.3605,                 2.7074,                 2.3157,                0.50203,                0.20513,                0.00176,                0.00039,                 4.2336,                    inf,                 197.09,               0.001568,               0.001568,               0.001568
                      7,                 2.3114,                 2.6697,                  2.236,                0.00064,                0.29487,                0.00051,                0.00015,                 3.7923,                    inf,                 11.282,               0.001568,               0.001568,               0.001568
                      8,                 2.2474,                  2.589,                 2.2408,                0.04976,                0.27493,                 0.0092,                0.00261,                 3.3194,                    inf,                 3.9173,              0.0015515,              0.0015515,              0.0015515
                      9,                 2.2589,                 2.5607,                 2.2382,                0.05875,                0.31909,                 0.0471,                0.01159,                 2.7478,                 17.355,                 3.1593,               0.001535,               0.001535,               0.001535
                     10,                 2.2234,                 2.5876,                 2.1824,                 0.1191,                 0.3566,                0.07753,                 0.0189,                  2.706,                 46.977,                 3.1987,              0.0015185,              0.0015185,              0.0015185
                     11,                 2.1999,                 2.5662,                 2.1965,                0.03527,                0.22317,                0.01892,                0.00484,                 2.6618,                 8.8606,                 2.8385,               0.001502,               0.001502,               0.001502
                     12,                 2.1679,                 2.4816,                 2.1308,                0.21746,                0.22365,                0.05314,                0.01576,                 2.6262,                 6.9531,                 2.8058,              0.0014855,              0.0014855,              0.0014855
                     13,                 2.1343,                  2.448,                  2.108,                0.17528,                0.24264,                0.08857,                0.03141,                 2.4848,                 5.0414,                 2.7209,               0.001469,               0.001469,               0.001469
                     14,                 2.1483,                 2.4142,                 2.1228,                0.29916,                0.26999,                0.13189,                0.04518,                 2.5046,                  4.731,                 2.6216,              0.0014525,              0.0014525,              0.0014525
                     15,                   2.12,                  2.376,                 2.1136,                0.51432,                0.17236,                0.11394,                0.03324,                 2.4333,                 3.1903,                 2.5121,               0.001436,               0.001436,               0.001436
                     16,                 2.1292,                 2.3897,                  2.106,                0.11774,                0.40028,                0.07771,                0.02061,                 2.4836,                 5.8293,                 2.6069,              0.0014195,              0.0014195,              0.0014195
                     17,                 2.1176,                 2.3765,                 2.1074,                0.47087,                0.24125,                0.21074,                0.07114,                 2.5173,                 3.3027,                 2.6167,              0.0014029,              0.0014029,              0.0014029
                     18,                 2.1155,                 2.3445,                 2.0963,                0.24337,                0.22982,                0.13604,                0.04437,                 2.3278,                 2.9595,                   2.42,              0.0013864,              0.0013864,              0.0013864
                     19,                 2.1048,                 2.2652,                   2.07,                0.25544,                0.25404,                0.15182,                0.05197,                 2.4408,                 4.0644,                 2.6527,              0.0013699,              0.0013699,              0.0013699
