                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.4477,                 4.2079,                 2.4913,                 0.0396,                0.18519,                0.01475,                0.00433,                 2.7334,                 30.843,                 3.0956,             0.00025005,             0.00025005,             0.00025005
                      1,                 2.1548,                  2.819,                 2.1613,                0.05785,                0.33808,                0.01791,                0.00541,                 3.3236,                    inf,                 8.7512,             0.00051165,             0.00051165,             0.00051165
                      2,                  2.317,                 2.8319,                 2.2395,                0.00016,                0.05128,                  6e-05,                  2e-05,                    nan,                    nan,                    nan,             0.00076798,             0.00076798,             0.00076798
                      3,                 2.3581,                 2.7105,                 2.3983,                0.00144,                0.29487,                0.00111,                0.00036,                 3.4747,                    inf,                 20.927,               0.001019,               0.001019,               0.001019
                      4,                 2.3242,                 2.6953,                 2.3036,                0.00143,                0.20988,                0.00097,                0.00027,                 4.1629,                    inf,                 41.092,              0.0012648,              0.0012648,              0.0012648
                      5,                 2.3103,                 2.7713,                 2.3079,                0.50423,                0.07692,                0.00275,                0.00069,                 3.6372,                 102.53,                 9.3947,              0.0015053,              0.0015053,              0.0015053
                      6,                 2.3339,                 2.7559,                 2.3063,                0.50027,                0.10256,                0.00014,                  4e-05,                 3.7095,                    inf,                 24.617,               0.001568,               0.001568,               0.001568
                      7,                 2.3056,                 2.7402,                  2.281,                0.00783,                0.21605,                  0.006,                0.00184,                 3.1595,                 38.241,                 4.0369,               0.001568,               0.001568,               0.001568
                      8,                 2.2693,                 2.5999,                 2.2221,                0.36047,                 0.1472,                0.01092,                0.00268,                 3.2672,                 55.014,                 4.1963,              0.0015515,              0.0015515,              0.0015515
                      9,                 2.2597,                 2.6213,                 2.2692,                0.58358,                0.10256,                0.04913,                0.01417,                 2.8458,                 7.2377,                 3.2701,               0.001535,               0.001535,               0.001535
                     10,                 2.2259,                 2.5541,                  2.204,                0.65432,                0.11538,                0.12489,                 0.0312,                 2.5046,                 5.2603,                 3.0049,              0.0015185,              0.0015185,              0.0015185
                     11,                 2.1675,                 2.4825,                 2.1936,                0.54964,                0.08974,                 0.0317,                0.00691,                 2.6822,                 4.1936,                 3.0501,               0.001502,               0.001502,               0.001502
                     12,                 2.1704,                 2.5402,                 2.1363,                0.45743,                0.25594,                0.09704,                 0.0235,                 2.6457,                 3.9017,                 2.9536,              0.0014855,              0.0014855,              0.0014855
                     13,                  2.157,                  2.465,                 2.1135,                 0.2197,                0.12821,                0.13061,                0.03595,                 2.5862,                   3.66,                 2.7564,               0.001469,               0.001469,               0.001469
                     14,                 2.1636,                  2.405,                 2.1339,                 0.2277,                0.20418,                0.13214,                0.04015,                 2.6065,                 3.4047,                  2.836,              0.0014525,              0.0014525,              0.0014525
                     15,                 2.1291,                 2.3873,                 2.0978,                0.17979,                0.25417,                0.11825,                0.03625,                 2.4485,                  3.675,                 2.5729,               0.001436,               0.001436,               0.001436
