                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.5433,                 3.7447,                 2.4164,                0.00274,                0.21273,                0.00179,                0.00057,                 3.0297,                    inf,                 4.3255,             0.00031673,             0.00031673,             0.00031673
                      1,                 2.4628,                 3.0804,                 2.3109,                0.00274,                0.21273,                0.00179,                0.00057,                    nan,                    nan,                    nan,             0.00064369,             0.00064369,             0.00064369
                      2,                 2.4988,                 2.8978,                   2.33,                0.00274,                0.21273,                0.00179,                0.00057,                    nan,                    nan,                    nan,             0.00096406,             0.00096406,             0.00096406
                      3,                 2.4464,                 2.8147,                 2.2767,                0.00027,                0.02469,                0.00014,                  4e-05,                    nan,                    nan,                    nan,              0.0012778,              0.0012778,              0.0012778
                      4,                 2.5142,                 2.8013,                 2.2481,                0.00027,                0.02469,                0.00014,                  4e-05,                    nan,                    nan,                    nan,               0.001585,               0.001585,               0.001585
                      5,                 2.4674,                 2.7784,                 2.2019,                0.50063,                0.32051,                0.00053,                0.00017,                 3.7122,                    inf,                 28.421,              0.0015845,              0.0015845,              0.0015845
                      6,                   2.42,                 2.6863,                 2.1545,                0.03472,                 0.0641,                0.01061,                0.00342,                 3.1541,                    inf,                 3.9386,              0.0015845,              0.0015845,              0.0015845
                      7,                 2.3845,                 2.6492,                 2.1268,                0.01624,                0.07692,                0.00783,                0.00227,                  2.979,                 188.99,                 3.1002,               0.001568,               0.001568,               0.001568
                      8,                 2.3149,                 2.5613,                 2.0789,                0.01167,                0.10874,                 0.0049,                0.00126,                 3.5287,                 4.8442,                 3.4188,              0.0015515,              0.0015515,              0.0015515
                      9,                  2.385,                 2.6363,                 2.1412,                0.09959,                0.10256,                0.06062,                0.02369,                 2.7887,                 128.74,                 2.8364,               0.001535,               0.001535,               0.001535
                     10,                 2.3483,                  2.564,                 2.1296,                0.00075,                0.29487,                0.00065,                0.00025,                   2.79,                    inf,                 2.9233,              0.0015185,              0.0015185,              0.0015185
                     11,                 2.2708,                 2.4771,                 2.0578,                0.61675,                0.12821,                0.09442,                0.02191,                 2.5754,                 4.2384,                 2.4715,               0.001502,               0.001502,               0.001502
                     12,                 2.2705,                 2.4715,                 2.0511,                 0.1411,                0.15907,                0.06251,                0.02325,                 2.5582,                 6.1414,                 2.5833,              0.0014855,              0.0014855,              0.0014855
                     13,                 2.2002,                 2.4379,                 2.0355,                0.53924,                0.12821,                0.03529,                0.01058,                 2.6388,                 6.6973,                 2.7548,               0.001469,               0.001469,               0.001469
                     14,                 2.1691,                 2.4227,                 2.0101,                0.62518,                0.11538,                0.08801,                0.02529,                 2.6402,                 4.5695,                 2.6055,              0.0014525,              0.0014525,              0.0014525
                     15,                 2.2193,                 2.4398,                 2.0169,                0.22556,                0.29867,                0.13288,                0.04284,                 2.4386,                 2.8347,                 2.3561,               0.001436,               0.001436,               0.001436
                     16,                 2.2216,                 2.4181,                 2.0098,                0.19109,                0.20619,                0.16382,                0.04507,                 2.5276,                 3.2135,                 2.3829,              0.0014195,              0.0014195,              0.0014195
                     17,                 2.1795,                 2.3335,                  2.027,                0.29989,                0.25594,                 0.1591,                0.04377,                 2.4741,                 3.0587,                 2.3446,              0.0014029,              0.0014029,              0.0014029
                     18,                 2.1278,                 2.3216,                 1.9881,                0.63821,                0.21795,                0.15759,                 0.0442,                 2.4541,                 3.1904,                 2.4265,              0.0013864,              0.0013864,              0.0013864
                     19,                 2.1306,                 2.3217,                 1.9384,                0.27096,                 0.2849,                0.20438,                 0.0702,                 2.5447,                 3.3604,                 2.4282,              0.0013699,              0.0013699,              0.0013699
                     20,                 2.1055,                 2.2643,                 1.9184,                 0.1942,                 0.2982,                0.19439,                0.06486,                  2.547,                 3.1821,                  2.344,              0.0013534,              0.0013534,              0.0013534
                     21,                  2.164,                 2.3177,                 1.9292,                0.14048,                0.34995,                0.12243,                 0.0395,                  2.506,                 3.2593,                  2.229,              0.0013369,              0.0013369,              0.0013369
                     22,                 2.1362,                 2.2675,                 1.9105,                0.69458,                0.12821,                0.18108,                0.06918,                 2.5042,                 2.8027,                  2.242,              0.0013204,              0.0013204,              0.0013204
                     23,                 2.1164,                 2.2515,                 1.9132,                0.78088,                0.23077,                0.24123,                0.07799,                 2.5396,                 2.7458,                 2.2247,              0.0013039,              0.0013039,              0.0013039
                     24,                 2.1123,                 2.2437,                 1.9094,                0.17919,                0.31766,                0.16896,                0.07265,                 2.4157,                 2.9764,                 2.2331,              0.0012874,              0.0012874,              0.0012874
                     25,                 2.0677,                 2.1856,                   1.89,                0.40922,                0.23647,                 0.1617,                0.04625,                 2.4293,                 3.1558,                 2.2412,              0.0012709,              0.0012709,              0.0012709
                     26,                 2.0951,                 2.2553,                 1.9369,                0.53658,                 0.2853,                0.25144,                0.07876,                 2.4439,                 2.6887,                 2.2513,              0.0012544,              0.0012544,              0.0012544
                     27,                 2.0736,                 2.2193,                 1.9062,                0.18526,                0.34948,                0.17764,                0.05615,                 2.4455,                 2.8266,                 2.1601,              0.0012379,              0.0012379,              0.0012379
                     28,                  2.057,                 2.2082,                 1.8675,                0.30832,                0.23599,                0.22982,                0.06686,                 2.4428,                 2.6652,                 2.2483,              0.0012214,              0.0012214,              0.0012214
                     29,                 2.0671,                 2.1697,                 1.8761,                0.29526,                 0.4206,                0.25908,                 0.0719,                 2.4188,                 2.5995,                  2.227,              0.0012049,              0.0012049,              0.0012049
                     30,                 2.0648,                 2.1527,                 1.8888,                0.38825,                0.26163,                0.27618,                0.08325,                 2.4073,                 2.6644,                 2.2307,              0.0011884,              0.0011884,              0.0011884
                     31,                 2.0286,                 2.1197,                 1.8576,                0.25784,                0.29202,                0.19714,                  0.061,                 2.5557,                 2.7532,                 2.4433,              0.0011719,              0.0011719,              0.0011719
                     32,                 2.0051,                 2.1105,                 1.8363,                0.22964,                0.35708,                0.16439,                0.05829,                 2.4506,                 2.9145,                 2.2627,              0.0011554,              0.0011554,              0.0011554
                     33,                 2.0679,                 2.1363,                 1.8452,                0.23368,                0.29867,                0.18583,                0.05177,                 2.4907,                 2.9548,                 2.2359,              0.0011389,              0.0011389,              0.0011389
                     34,                 2.0345,                 2.1473,                 1.8447,                0.42106,                0.30641,                0.16992,                0.06216,                 2.5017,                 2.7772,                 2.2002,              0.0011224,              0.0011224,              0.0011224
                     35,                 1.9606,                 2.0978,                 1.8341,                0.31055,                0.36254,                0.25324,                0.07714,                 2.3601,                  2.709,                 2.2412,              0.0011059,              0.0011059,              0.0011059
                     36,                 2.0046,                 2.0771,                 1.8552,                0.20992,                0.33571,                0.15466,                0.05781,                 2.4007,                 2.5756,                 2.2259,              0.0010894,              0.0010894,              0.0010894
                     37,                 1.9492,                  2.049,                 1.8031,                0.27452,                0.32336,                0.22647,                0.07729,                 2.4505,                 2.6771,                 2.2073,              0.0010729,              0.0010729,              0.0010729
                     38,                 1.9856,                 2.0726,                 1.8419,                0.31839,                0.28222,                0.26735,                0.08691,                 2.3983,                 2.5576,                 2.2408,              0.0010564,              0.0010564,              0.0010564
                     39,                 1.9642,                 2.0621,                  1.817,                0.24245,                0.39316,                0.21659,                0.06312,                 2.4492,                 2.6622,                 2.1713,              0.0010399,              0.0010399,              0.0010399
                     40,                 1.9692,                 2.0188,                 1.8154,                0.34572,                0.23504,                 0.1955,                0.06995,                 2.4174,                 2.4988,                 2.1489,              0.0010234,              0.0010234,              0.0010234
                     41,                 1.9379,                 1.9928,                  1.784,                0.33623,                0.34385,                0.29735,                0.11104,                 2.3334,                  2.425,                 2.1419,              0.0010069,              0.0010069,              0.0010069
                     42,                 1.9693,                 2.0344,                 1.8047,                0.26312,                0.36705,                0.23142,                0.08464,                 2.4272,                 2.5548,                 2.2724,             0.00099036,             0.00099036,             0.00099036
                     43,                 1.9487,                 2.0325,                 1.8109,                 0.2917,                0.38082,                 0.3434,                0.13066,                 2.3485,                 2.4322,                 2.1747,             0.00097386,             0.00097386,             0.00097386
                     44,                 1.9099,                 1.9862,                 1.7571,                0.31996,                0.33001,                0.25096,                0.08625,                 2.3378,                 2.5448,                 2.1397,             0.00095736,             0.00095736,             0.00095736
                     45,                 1.9034,                 1.9518,                 1.7662,                0.24534,                0.33713,                0.25786,                0.09361,                 2.4025,                 2.7245,                 2.2199,             0.00094085,             0.00094085,             0.00094085
