                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.5046,                  4.233,                 2.5205,                0.00171,                0.22934,                0.00124,                0.00031,                 2.8758,                    nan,                 3.1178,             0.00026672,             0.00026672,             0.00026672
                      1,                 2.4393,                 3.2316,                 2.3313,                0.00171,                0.22934,                0.00124,                0.00031,                    nan,                    nan,                    nan,             0.00054466,             0.00054466,             0.00054466
                      2,                 2.4921,                 3.0244,                 2.4039,                0.00171,                0.22934,                0.00124,                0.00031,                    nan,                    nan,                    nan,               0.000817,               0.000817,               0.000817
                      3,                 2.3862,                  2.908,                 2.3234,                0.00171,                0.22934,                0.00124,                0.00031,                    nan,                    nan,                    nan,              0.0010837,              0.0010837,              0.0010837
                      4,                  2.383,                 2.9348,                 2.3194,                0.00171,                0.22934,                0.00124,                0.00031,                 5.0536,                    nan,                 73.847,              0.0013448,              0.0013448,              0.0013448
                      5,                 2.3939,                 2.9425,                 2.3719,                0.00171,                0.22934,                0.00124,                0.00031,                 3.4947,                    nan,                 254.22,              0.0015845,              0.0015845,              0.0015845
                      6,                 2.4073,                 2.9705,                 2.3487,                0.00171,                0.22934,                0.00124,                0.00031,                    nan,                    nan,                    nan,              0.0015845,              0.0015845,              0.0015845
                      7,                 2.4013,                 2.8563,                 2.2933,                0.00171,                0.22934,                0.00124,                0.00031,                 5.1701,                    nan,                 710.87,               0.001568,               0.001568,               0.001568
                      8,                 2.3831,                 2.7982,                 2.3078,                0.00406,                0.43352,                0.00378,                0.00109,                 3.2501,                    inf,                  4.709,              0.0015515,              0.0015515,              0.0015515
                      9,                 2.2862,                 2.7153,                 2.2465,                0.02397,                0.16572,                0.01309,                0.00318,                 3.3046,                 8.1515,                 3.6074,               0.001535,               0.001535,               0.001535
                     10,                 2.3447,                 2.7592,                 2.2172,                0.54177,                0.10256,                 0.0233,                0.00506,                 3.2635,                 7.2427,                 3.2929,              0.0015185,              0.0015185,              0.0015185
                     11,                 2.3144,                 2.6839,                 2.1875,                0.01364,                0.08974,                0.00414,                0.00085,                 3.0999,                    inf,                 3.3278,               0.001502,               0.001502,               0.001502
                     12,                 2.2518,                 2.7282,                 2.2133,                 0.5878,                0.08974,                 0.0604,                0.01253,                 2.7084,                 6.1173,                 2.9451,              0.0014855,              0.0014855,              0.0014855
